Code,State,Year,Month,NIP,LF,Population,Employment,EmployedLF,Unemployment,UnemployedLF
51000,New York city,1976,1,5694000.00,"3,066,605",53.9,"2,723,016",47.8,343589.00,11.2
51000,New York city,1976,2,5692000.00,"3,065,430",53.9,"2,722,421",47.8,343009.00,11.2
51000,New York city,1976,3,5690000.00,"3,064,867",53.9,"2,722,931",47.9,341936.00,11.2
51000,New York city,1976,4,5689000.00,"3,067,313",53.9,"2,726,299",47.9,341014.00,11.1
51000,New York city,1976,5,5687000.00,"3,071,973",54,"2,730,681",48,341292.00,11.1
51000,New York city,1976,6,5685000.00,"3,077,212",54.1,"2,735,049",48.1,342163.00,11.1
51000,New York city,1976,7,5683000.00,"3,081,073",54.2,"2,737,981",48.2,343092.00,11.1
51000,New York city,1976,8,5677000.00,"3,082,731",54.3,"2,739,158",48.3,343573.00,11.1
51000,New York city,1976,9,5672000.00,"3,081,830",54.3,"2,739,239",48.3,342591.00,11.1
51000,New York city,1976,10,5666000.00,"3,079,423",54.3,"2,738,977",48.3,340446.00,11.1
51000,New York city,1976,11,5660000.00,"3,076,833",54.4,"2,739,097",48.4,337736.00,11
51000,New York city,1976,12,5654000.00,"3,074,891",54.4,"2,740,292",48.5,334599.00,10.9
51000,New York city,1977,1,5649000.00,"3,074,060",54.4,"2,742,616",48.6,331444.00,10.8
51000,New York city,1977,2,5643000.00,"3,072,906",54.5,"2,745,433",48.7,327473.00,10.7
51000,New York city,1977,3,5637000.00,"3,070,256",54.5,"2,748,001",48.7,322255.00,10.5
51000,New York city,1977,4,5631000.00,"3,066,318",54.5,"2,749,662",48.8,316656.00,10.3
51000,New York city,1977,5,5626000.00,"3,061,884",54.4,"2,750,138",48.9,311746.00,10.2
51000,New York city,1977,6,5620000.00,"3,057,869",54.4,"2,749,330",48.9,308539.00,10.1
51000,New York city,1977,7,5614000.00,"3,054,913",54.4,"2,747,823",48.9,307090.00,10.1
51000,New York city,1977,8,5609000.00,"3,053,950",54.4,"2,747,108",49,306842.00,10
51000,New York city,1977,9,5605000.00,"3,054,635",54.5,"2,747,754",49,306881.00,10
51000,New York city,1977,10,5600000.00,"3,055,174",54.6,"2,749,350",49.1,305824.00,10
51000,New York city,1977,11,5595000.00,"3,054,758",54.6,"2,751,768",49.2,302990.00,9.9
51000,New York city,1977,12,5590000.00,"3,053,551",54.6,"2,754,761",49.3,298790.00,9.8
51000,New York city,1978,1,5586000.00,"3,052,301",54.6,"2,758,836",49.4,293465.00,9.6
51000,New York city,1978,2,5581000.00,"3,052,029",54.7,"2,764,189",49.5,287840.00,9.4
51000,New York city,1978,3,5576000.00,"3,052,822",54.7,"2,770,144",49.7,282678.00,9.3
51000,New York city,1978,4,5571000.00,"3,054,195",54.8,"2,775,954",49.8,278241.00,9.1
51000,New York city,1978,5,5567000.00,"3,056,271",54.9,"2,781,380",50,274891.00,9
51000,New York city,1978,6,5562000.00,"3,058,314",55,"2,786,035",50.1,272279.00,8.9
51000,New York city,1978,7,5557000.00,"3,059,865",55.1,"2,789,656",50.2,270209.00,8.8
51000,New York city,1978,8,5554000.00,"3,060,853",55.1,"2,792,099",50.3,268754.00,8.8
51000,New York city,1978,9,5551000.00,"3,061,553",55.2,"2,794,154",50.3,267399.00,8.7
51000,New York city,1978,10,5548000.00,"3,062,997",55.2,"2,796,795",50.4,266202.00,8.7
51000,New York city,1978,11,5545000.00,"3,065,284",55.3,"2,800,067",50.5,265217.00,8.7
51000,New York city,1978,12,5542000.00,"3,066,958",55.3,"2,802,704",50.6,264254.00,8.6
51000,New York city,1979,1,5539000.00,"3,066,675",55.4,"2,803,072",50.6,263603.00,8.6
51000,New York city,1979,2,5536000.00,"3,064,349",55.4,"2,800,882",50.6,263467.00,8.6
51000,New York city,1979,3,5533000.00,"3,061,280",55.3,"2,797,304",50.6,263976.00,8.6
51000,New York city,1979,4,5530000.00,"3,059,125",55.3,"2,793,895",50.5,265230.00,8.7
51000,New York city,1979,5,5527000.00,"3,058,767",55.3,"2,791,929",50.5,266838.00,8.7
51000,New York city,1979,6,5524000.00,"3,060,392",55.4,"2,792,038",50.5,268354.00,8.8
51000,New York city,1979,7,5521000.00,"3,063,536",55.5,"2,794,688",50.6,268848.00,8.8
51000,New York city,1979,8,5520000.00,"3,067,263",55.6,"2,799,387",50.7,267876.00,8.7
51000,New York city,1979,9,5519000.00,"3,070,936",55.6,"2,804,861",50.8,266075.00,8.7
51000,New York city,1979,10,5518000.00,"3,073,240",55.7,"2,809,848",50.9,263392.00,8.6
51000,New York city,1979,11,5517000.00,"3,073,107",55.7,"2,813,059",51,260048.00,8.5
51000,New York city,1979,12,5517000.00,"3,071,405",55.7,"2,814,008",51,257397.00,8.4
51000,New York city,1980,1,5516000.00,"3,068,767",55.6,"2,812,829",51,255938.00,8.3
51000,New York city,1980,2,5515000.00,"3,065,588",55.6,"2,809,872",50.9,255716.00,8.3
51000,New York city,1980,3,5514000.00,"3,062,745",55.5,"2,806,124",50.9,256621.00,8.4
51000,New York city,1980,4,5513000.00,"3,060,226",55.5,"2,802,494",50.8,257732.00,8.4
51000,New York city,1980,5,5517000.00,"3,058,244",55.4,"2,799,763",50.7,258481.00,8.5
51000,New York city,1980,6,5520000.00,"3,057,311",55.4,"2,798,455",50.7,258856.00,8.5
51000,New York city,1980,7,5524000.00,"3,056,925",55.3,"2,798,040",50.7,258885.00,8.5
51000,New York city,1980,8,5527000.00,"3,056,559",55.3,"2,797,998",50.6,258561.00,8.5
51000,New York city,1980,9,5531000.00,"3,056,587",55.3,"2,798,195",50.6,258392.00,8.5
51000,New York city,1980,10,5534000.00,"3,057,812",55.3,"2,798,165",50.6,259647.00,8.5
51000,New York city,1980,11,5538000.00,"3,061,766",55.3,"2,798,957",50.5,262809.00,8.6
51000,New York city,1980,12,5541000.00,"3,069,233",55.4,"2,802,095",50.6,267138.00,8.7
51000,New York city,1981,1,5545000.00,"3,079,680",55.5,"2,807,605",50.6,272075.00,8.8
51000,New York city,1981,2,5548000.00,"3,090,801",55.7,"2,814,202",50.7,276599.00,8.9
51000,New York city,1981,3,5552000.00,"3,099,106",55.8,"2,820,239",50.8,278867.00,9
51000,New York city,1981,4,5555000.00,"3,102,234",55.8,"2,824,213",50.8,278021.00,9
51000,New York city,1981,5,5559000.00,"3,099,847",55.8,"2,825,433",50.8,274414.00,8.9
51000,New York city,1981,6,5562000.00,"3,093,862",55.6,"2,824,357",50.8,269505.00,8.7
51000,New York city,1981,7,5566000.00,"3,087,531",55.5,"2,821,674",50.7,265857.00,8.6
51000,New York city,1981,8,5569000.00,"3,083,186",55.4,"2,817,778",50.6,265408.00,8.6
51000,New York city,1981,9,5572000.00,"3,081,423",55.3,"2,813,357",50.5,268066.00,8.7
51000,New York city,1981,10,5575000.00,"3,082,355",55.3,"2,809,542",50.4,272813.00,8.9
51000,New York city,1981,11,5579000.00,"3,084,362",55.3,"2,806,028",50.3,278334.00,9
51000,New York city,1981,12,5582000.00,"3,086,199",55.3,"2,802,788",50.2,283411.00,9.2
51000,New York city,1982,1,5586000.00,"3,087,909",55.3,"2,800,806",50.1,287103.00,9.3
51000,New York city,1982,2,5589000.00,"3,089,969",55.3,"2,800,433",50.1,289536.00,9.4
51000,New York city,1982,3,5592000.00,"3,092,193",55.3,"2,800,772",50.1,291421.00,9.4
51000,New York city,1982,4,5595000.00,"3,094,136",55.3,"2,800,776",50.1,293360.00,9.5
51000,New York city,1982,5,5599000.00,"3,095,008",55.3,"2,799,621",50,295387.00,9.5
51000,New York city,1982,6,5602000.00,"3,094,105",55.2,"2,796,594",49.9,297511.00,9.6
51000,New York city,1982,7,5605000.00,"3,091,500",55.2,"2,791,624",49.8,299876.00,9.7
51000,New York city,1982,8,5611000.00,"3,087,993",55,"2,785,307",49.6,302686.00,9.8
51000,New York city,1982,9,5616000.00,"3,084,134",54.9,"2,778,006",49.5,306128.00,9.9
51000,New York city,1982,10,5622000.00,"3,079,947",54.8,"2,770,040",49.3,309907.00,10.1
51000,New York city,1982,11,5627000.00,"3,075,649",54.7,"2,762,460",49.1,313189.00,10.2
51000,New York city,1982,12,5633000.00,"3,069,814",54.5,"2,754,908",48.9,314906.00,10.3
51000,New York city,1983,1,5638000.00,"3,062,190",54.3,"2,747,443",48.7,314747.00,10.3
51000,New York city,1983,2,5644000.00,"3,054,879",54.1,"2,742,008",48.6,312871.00,10.2
51000,New York city,1983,3,5649000.00,"3,050,385",54,"2,740,173",48.5,310212.00,10.2
51000,New York city,1983,4,5655000.00,"3,051,562",54,"2,743,370",48.5,308192.00,10.1
51000,New York city,1983,5,5660000.00,"3,058,089",54,"2,750,843",48.6,307246.00,10
51000,New York city,1983,6,5666000.00,"3,067,486",54.1,"2,760,922",48.7,306564.00,10
51000,New York city,1983,7,5671000.00,"3,077,151",54.3,"2,772,167",48.9,304984.00,9.9
51000,New York city,1983,8,5676000.00,"3,084,423",54.3,"2,782,556",49,301867.00,9.8
51000,New York city,1983,9,5680000.00,"3,087,766",54.4,"2,790,500",49.1,297266.00,9.6
51000,New York city,1983,10,5684000.00,"3,087,303",54.3,"2,795,851",49.2,291452.00,9.4
51000,New York city,1983,11,5689000.00,"3,083,778",54.2,"2,798,683",49.2,285095.00,9.2
51000,New York city,1983,12,5693000.00,"3,079,965",54.1,"2,800,863",49.2,279102.00,9.1
51000,New York city,1984,1,5698000.00,"3,077,803",54,"2,804,058",49.2,273745.00,8.9
51000,New York city,1984,2,5702000.00,"3,078,049",54,"2,808,242",49.3,269807.00,8.8
